Order,Family,Genus,Current_Identification,Mass,FL_Breast,DL_Breast,PL_Breast,AD_Breast,AP_Breast,AT_Breast,FL_Back,DL_Back,PL_Back,AD_Back,AP_Back,AT_Back,FL_Head,DL_Head,PL_Head,AD_Head,AP_Head,AT_Head,Country/Continent/Ocean,State/Province,Precise_Location,Station,Longitude,Latitude,Temperature,Rainfall,Museum
Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,94,39.3,15.849,23.451,536.74,398.639,935.379,43.125,18.77,24.355,764.477,613.662,1378.139,23.721,9.59,14.131,149.984,175.45,325.434,Colombia,Cundinamarca,,,-73.8511111,4.7036111,12.2,1371,IAvH
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,55.758,30.701,25.057,886.779,412.07,1298.849,,,0,,,0,,,0,,,0,Colombia,Valle del Cauca,Zygia,,-76.66357994,3.445342173,17.8,2042,Icesi
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,42.858,24.432,18.426,541.534,211.388,752.922,,,0,,,0,,,0,,,0,Colombia,Valle del Cauca,Chicoral,LM04,-76.58,3.56,19.1,1545,Icesi
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,40.159,23.536,16.623,511.956,205.628,717.584,,,0,,,0,,,0,,,0,Colombia,Valle del Cauca,Chicoral,LM04,-76.58,3.56,19.1,1545,Icesi
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,59.843,38.119,21.724,963.205,374.277,1337.482,,,0,,,0,,,0,,,0,Colombia,Valle del Cauca,Chicoral,LM04,-76.58,3.56,19.1,1545,Icesi
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,23.648,13.833,9.815,199.635,113.926,313.561,20.935,10.774,10.161,187.851,107.255,295.106,18.083,5,13.083,77.975,90.013,167.988,Colombia,Cundinamarca,,,-73.4440556,4.5156667,21.8,5015,IAvH
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,34.498,16.962,17.536,446.589,206.304,652.893,26.083,14.551,11.532,243.662,103.597,347.259,24.97,7.851,17.119,155.693,184.013,339.706,Colombia,Cundinamarca,,,-73.4440556,4.5156667,21.8,5015,IAvH
Strigiformes,Strigidae,Adelomyia,Aegolius harrisii,120,24.829,14.737,10.092,478.328,142.456,620.784,35.48,20.031,15.449,773.784,204.558,978.342,21.178,10.841,10.337,162.798,71.697,234.495,Colombia,Norte de Santander,,,-72.4438889,7.4252778,13.6,992,IAvH
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,6,49.201,29.124,20.077,833.801,389.856,1223.657,,,0,,,0,,,0,,,0,Colombia,Risaralda,Tatama,TA01,-76.080167,5.2231944,19.1,2636,Icesi
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,6,33.487,14.558,18.929,521.916,328.436,850.352,,,0,,,0,,,0,,,0,Colombia,Risaralda,Tatama,TA13,-76.10866667,5.2537778,18,2837,Icesi
